,type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
1438,0.0,16.0,3,3,3,3.0,1550.0,0,0,1,2.0,0.0,1.7
1439,0.0,22.0,4,5,3,1.0,2060.0,0,0,0,2.0,0.0,2.57
1440,1.0,25.0,5,5,2,0.0,3421.68,1,0,0,1.0,1.0,6.46
1441,0.0,9.0,3,3,3,3.0,2500.0,1,0,1,0.0,1.0,1.9
1442,1.0,34.0,6,8,3,3.0,2840.64,1,1,2,1.0,1.0,13.0
1443,0.0,107.0,3,3,3,3.0,1650.0,0,0,0,1.0,2.0,1.25
1444,0.0,107.0,3,3,3,0.0,1437.0,1,0,1,2.0,0.0,1.25
1445,0.0,10.0,3,3,3,1.0,1500.0,0,0,1,2.0,2.0,1.1
1446,0.0,11.0,4,4,3,3.0,3064.0,1,0,0,0.0,0.0,2.6
1447,0.0,77.0,2,2,3,3.0,1433.0,0,0,1,1.0,0.0,2.15
1448,1.0,30.0,4,4,3,2.0,1839.96,0,0,1,1.0,1.0,2.95
1449,1.0,63.0,9,9,3,0.0,2711.5199999999995,1,0,0,1.0,1.0,5.5
1450,1.0,58.0,4,5,3,0.0,4000.0,1,0,0,1.0,1.0,8.4
1451,1.0,16.0,4,5,2,3.0,2431.76,1,0,0,2.0,1.0,5.9
1452,0.0,79.0,1,1,1,3.0,826.0,0,0,1,1.0,0.0,1.0
1453,0.0,86.0,2,2,1,3.0,600.0,0,0,0,1.0,2.0,0.55
1454,0.0,107.0,2,2,1,1.0,575.0,0,0,1,1.0,2.0,0.4
1455,1.0,25.0,5,4,2,2.0,3238.76,0,0,1,1.0,1.0,5.5
1456,0.0,67.0,4,3,3,2.0,1900.0,0,0,0,1.0,1.0,1.59
1457,1.0,54.0,5,5,3,0.0,2700.76,1,0,0,2.0,1.0,8.5
1458,0.0,15.0,3,4,3,3.0,1500.29,1,0,1,2.0,0.0,1.7
1459,1.0,51.0,2,2,1,1.0,50.0,0,0,0,2.0,1.0,0.47
1460,0.0,11.0,2,2,2,3.0,1403.0,0,0,1,2.0,0.0,1.59
1461,0.0,101.0,2,2,3,3.0,1630.0,0,0,1,1.0,2.0,1.18
1462,0.0,48.0,4,4,3,3.0,2091.0,0,0,0,2.0,0.0,1.67
1463,0.0,105.0,2,2,2,1.0,1226.0,0,0,1,1.0,1.0,0.85
1464,0.0,16.0,3,3,3,3.0,1584.0,0,0,1,2.0,0.0,1.4
1465,0.0,113.0,3,3,3,4.0,1810.0,0,0,1,1.0,2.0,1.6
1466,0.0,105.0,3,3,3,1.0,1944.0,0,0,1,1.0,1.0,1.5
1467,0.0,82.0,4,4,2,3.0,1819.0,0,0,0,0.0,0.0,1.85
1468,0.0,5.0,2,2,0,4.0,1300.0,0,0,1,1.0,2.0,0.5
1469,1.0,37.0,4,4,3,3.0,2431.76,1,1,0,2.0,1.0,8.4
1470,0.0,78.0,3,3,3,3.0,2882.0,1,1,1,2.0,0.0,4.6
1471,0.0,43.0,3,3,3,4.0,1403.0,0,0,1,2.0,2.0,1.5
1472,0.0,108.0,4,4,3,0.0,2139.0,1,0,1,2.0,0.0,1.65
1473,1.0,1.0,2,2,0,3.0,450.0,0,0,1,1.0,1.0,0.24
1474,0.0,78.0,3,3,3,3.0,1950.0,0,0,0,2.0,0.0,2.85
1475,0.0,37.0,3,3,2,0.0,2983.0,1,0,1,1.0,2.0,6.0
1476,0.0,30.0,1,2,2,0.0,723.0,0,0,1,2.0,2.0,0.56
1477,0.0,42.0,3,2,2,0.0,1450.0,0,0,2,2.0,1.0,1.2
1478,0.0,78.0,4,4,3,3.0,3500.0,1,1,0,0.0,0.0,4.85
1479,1.0,25.0,6,4,2,2.0,1936.8,0,0,0,1.0,1.0,3.5
1480,0.0,103.0,4,4,3,1.0,1745.0,1,0,1,2.0,1.0,2.1
1481,0.0,91.0,2,2,2,1.0,1489.0,0,0,1,2.0,1.0,1.0
1482,1.0,49.0,6,6,3,2.0,1839.96,1,0,0,2.0,2.0,4.0
1483,0.0,30.0,1,1,2,0.0,723.0,0,0,1,2.0,2.0,0.56
1484,0.0,67.0,3,3,3,0.0,1719.0,0,0,0,2.0,1.0,1.45
1485,0.0,113.0,2,2,3,3.0,1430.0,0,0,1,0.0,1.0,1.02
1486,0.0,15.0,2,2,2,1.0,1250.0,0,0,0,2.0,0.0,2.4
1487,0.0,47.0,2,2,1,3.0,850.0,0,0,0,0.0,2.0,0.35
1488,0.0,48.0,3,3,3,3.0,1700.0,0,0,1,0.0,2.0,1.08
1489,0.0,77.0,2,2,3,4.0,1141.0,0,0,1,2.0,2.0,1.9
1490,0.0,99.0,3,3,2,3.0,1618.0,0,0,1,1.0,0.0,1.18
1491,0.0,77.0,3,3,3,4.0,1667.0,0,0,1,2.0,0.0,3.0
1492,0.0,30.0,2,2,3,0.0,1281.0,0,0,0,2.0,1.0,0.95
1493,0.0,19.0,4,5,3,3.0,3077.0,1,0,1,0.0,2.0,3.49
1494,0.0,31.0,3,4,3,1.0,2517.0,0,0,1,1.0,1.0,3.2
1495,0.0,82.0,2,2,1,3.0,536.0,0,0,0,2.0,2.0,0.62
1496,0.0,9.0,2,2,1,3.0,915.0,0,0,1,1.0,2.0,1.1
1497,0.0,20.0,3,4,3,3.0,2005.0,1,1,1,2.0,0.0,2.65
1498,1.0,59.0,5,4,2,2.0,3421.68,1,1,1,2.0,1.0,6.75
1499,0.0,43.0,2,2,2,1.0,1492.0,0,0,1,2.0,1.0,1.2
1500,0.0,78.0,2,3,3,3.0,1470.0,1,0,0,2.0,0.0,1.85
1501,0.0,115.0,1,1,1,3.0,386.0,0,0,1,2.0,1.0,0.25
1502,0.0,99.0,3,3,2,0.0,1700.0,1,0,1,2.0,0.0,1.25
1503,0.0,115.0,3,3,3,3.0,1509.0,0,0,1,1.0,2.0,1.3
1504,0.0,109.0,4,5,3,0.0,1717.0,1,0,1,1.0,2.0,0.95
1505,0.0,67.0,3,2,2,2.0,1275.0,0,0,1,0.0,1.0,1.35
1506,0.0,96.0,1,1,2,3.0,444.0,0,0,1,1.0,1.0,0.38
1507,0.0,14.0,3,3,3,3.0,1758.0,0,0,1,2.0,2.0,1.32
1508,0.0,82.0,4,4,2,3.0,1889.0,0,0,1,0.0,1.0,2.0
1509,1.0,56.0,4,4,3,0.0,100.0,0,1,0,1.0,1.0,2.4
1510,0.0,70.0,3,4,3,1.0,3361.0,1,0,0,1.0,0.0,5.8
1511,0.0,96.0,3,3,3,1.0,1929.0,1,0,2,0.0,2.0,2.25
1512,0.0,109.0,3,3,3,3.0,1738.0,0,0,1,1.0,1.0,1.5
1513,0.0,96.0,4,6,3,3.0,3801.0,1,0,0,1.0,0.0,4.5
1514,0.0,115.0,2,2,2,3.0,528.0,0,0,1,2.0,0.0,0.35
1515,0.0,105.0,3,3,2,1.0,1581.0,0,0,1,2.0,1.0,1.16
1516,0.0,78.0,3,2,3,3.0,1700.0,1,0,0,0.0,2.0,2.4
1517,1.0,51.0,3,2,1,1.0,684.0,0,0,1,1.0,1.0,0.7
1518,0.0,109.0,3,2,3,3.0,2350.0,0,0,1,1.0,1.0,1.1
1519,0.0,101.0,3,4,2,1.0,1616.0,1,0,1,1.0,1.0,1.45
1520,0.0,109.0,4,3,2,1.0,1983.0,0,0,1,2.0,0.0,0.95
1521,0.0,61.0,2,2,2,0.0,1330.0,0,0,0,0.0,0.0,1.14
1522,0.0,65.0,3,4,3,0.0,1607.0,1,0,2,0.0,2.0,4.85
1523,0.0,86.0,3,4,2,3.0,1577.0,1,0,2,2.0,0.0,1.25
1524,0.0,79.0,3,4,3,3.0,2016.0,1,0,0,0.0,0.0,3.4
1525,0.0,9.0,3,3,3,3.0,1388.0,1,0,1,2.0,2.0,1.3
1526,0.0,59.0,4,4,3,0.0,2157.0,1,0,1,2.0,2.0,2.9
1527,1.0,68.0,3,4,3,0.0,1624.76,1,1,0,1.0,1.0,3.75
1528,0.0,97.0,4,5,3,3.0,2195.0,1,0,1,2.0,2.0,1.6
1529,0.0,65.0,3,3,3,0.0,2250.0,0,0,0,2.0,1.0,1.59
1530,0.0,77.0,3,3,3,3.0,1650.0,1,0,1,1.0,1.0,2.55
1531,0.0,77.0,3,3,2,3.0,1650.0,1,0,1,0.0,2.0,2.35
1532,1.0,30.0,6,5,3,3.0,2431.76,1,0,1,2.0,1.0,4.95
